Station ID,Company Name,Location,Industry Domain,Preferred Branches,Stipend (UG),Stipend (PG),Have Accommodation?(Y or N)
5718,Village book builders- Operations automation,Usa,IT,A7,0,0,N
5551,Expound Technivo- Strategy and   BD,Mumbai,IT,Any,0,0,N
5644,Expound Technivo Pvt Ltd Tech-Software Development,Mumbai,IT,Any,0,0,N
5549,"Xarvis Intelligent Systems Lab Pvt Ltd - Tech ,Pune - UI Development",Pune,IT,Any,0,0,N
5440,NPBridge Solutions Private Limited,Bangalore,Computer Science,"A3 , A7",0,0,N
5962, Electrono Solutions - Embedded Systems / IoT,Bangalore,Electronics  ,"A4 , A7",0,0,N
5904,Adarsh Control & Automation Pvt. Ltd- Industrial Automation,Bangalore,Electronics  ,"A3 , A8 , AA",0,0,N
678,Aditya Birla Insulators,Halol,Electronics  ,"A1 , A4 , A7 , C6",0,0,N
5911,Bhaskaracharya Institute For Space Applications And Geoinformatic - Embedded Systems/IoT,Gandhinagar ,Electronics  ,"A3 , A8 , AA",0,0,N
5912,Caliber Interconnect Solutions Pvt Ltd-Industrial Automation & Control,Coimbatore,Electronics  ,"A3 , A8 , AA",0,0,N
4277,Takshila Learning,New delhi,IT,Unavailable,Unavailable,Unavailable,N
5914,CEERI Pilani - Embedded Systems/IoT,Pilani,Electronics  ,"A3 , A8 , AA",0,0,N
5934,CEERI Pilani - Industrial Automation and Control ,Pilani,Electronics  ,"A3 , A8 , AA",0,0,N
4278,Takshila Learning - IT,New delhi,IT,Any,0,0,N
5929,CEERI Pilani - VLSI Design/Circuit Design,Pilani,Electronics  ,"A3 , A4 , A7 , A8 , AA",0,0,N
5937,Central Scientific Instruments Organization - Industrial Automation & Control,Chennai,Electronics  ,"A3 , A7",0,0,N
5936,CSIR-National Aerospace Laboratories - VLSI Design/Circuit Design,Bengaluru ,Electronics  ,"A3 , AA",0,0,N
5977,Domtech Robotics and Automation - Electrical Power Systems,Nashik,Electronics  ,"A3 , A8 , AA",0,0,N
5978,Domtech Robotics and Automation - Embedded Systems/IoT,Nashik,Electronics  ,"A3 , A8 , AA",0,0,N
5979,Domtech Robotics and Automation - VLSI design/Circuit Design,Nashik,Electronics  ,"A3 , A8 , AA",0,0,N
5930,Dynamic Elecpower (P) Ltd - Electrical Power Systems,Bhilwara,Electronics  ,"A3 , A8",0,0,N
5931,Dynamic Elecpower (P) Ltd - Industrial Control & Automation,Bhilwara,Electronics  ,"A3 , A8",0,0,N
5932,E-Connect Solutions Pvt. Ltd - Embedded Systems/IoT,Udaipur,Electronics  ,"A3 , A8 , AA",0,0,N
5421,Edutech Learning Solutions Pvt. Ltd. ,Vadodara ,Electronics  ,Any,0,0,N
5933,"EFY Group,New Delhi - Embedded Systems / IoT",New delhi,Electronics  ,"A3 , A8 , AA",0,0,N
5943,Electronics Corporation of India Limited - VLSI Design/Circuit Design,Hyderabad ,Electronics  ,"A3 , A8 , AA",0,0,N
5961,Electrono Solutions - App/AR/VR  ,Bangalore,Electronics  ,"A3 , A8 , AA",0,0,N
4721,Electrono Solutions - Electrical Power Systems ,Bangalore,Electronics  ,Any,0,0,N
4722,Electrono Solutions - Industrial Control & Automation,Bangalore,Electronics  ,"A3 , A8 , AA",0,0,N
5481,Indian Society for Education and Environment ,Chennai,Electronics  ,"A3 , A8 , AA",0,0,N
5983,ISEE- Literature Research,Chennai,Electronics  ,Any,0,0,N
5951,Kizora Software Pvt. Ltd,Nagpur,Electronics,Unavailable,Unavailable,Unavailable,N
5761,Madras Mindworks Pvt Ltd -Electronics,Chennai,Electronics  ,"A3 , A8 , AA",0,0,N
5923,MELSS - Industrial Automation & Control,Chennai,Electronics  ,"A3 , A7 , A8 , AA",0,0,N
5976,MTAB Engineers Pvt Ltd - Industrial Automation and Control ,Tiruvallur,Electronics  ,AB,0,0,N
5919,Nihon Communication Solutions Pvt. Ltd - Embebdded Systems/IoT,Bangalore,Electronics  ,"A3 , A8 , AA",0,0,N
5948,Power Grid Corporation - Electrical Power Systems,Nagpur,Electronics  ,"A3 , A8 , AA",0,0,N
5926,Prama Instruments Private Limited - Industrial Control & Automation,Mumbai,Electronics  ,"A3 , A8 , AA",0,0,N
5959,Pyrotech Electronics Pvt. Ltd - Embedded Systems/IoT,Udaipur,Electronics  ,"A3 , A8 , AA",0,0,N
5960,Pyrotech Electronics Pvt. Ltd - Industrial Automation & Control,Udaipur,Electronics  ,"A3 , A8 , AA",0,0,N
220,"Renu Electronics Pvt Ltd, Pune",Pune,Electronics,Unavailable,Unavailable,Unavailable,N
5953,Semi- conductor laboratoty - VLSI Design/Circuit Design,Mohali ,Electronics  ,A3,0,0,N
5925,SenRa Tech Pvt Ltd - Embedded Systems/IoT,Delhi,Electronics  ,"A3 , A8 , AA",0,0,N
5952,Shalaka Connected Devices LLP - App/AR/VR,Pune,Electronics  ,"A3 , A7 , A8 , AA",0,0,N
5924,Shalaka Connected Devices LLP - Embedded Systems/IoT,Pune,Electronics  ,"A3 , A7 , A8 , AA",0,0,N
5918,SNS TECHNOSYS LLP - Embedded Systems/IoT,Pune,Electronics  ,"A3 , A8 , AA",0,0,N
5917,STAR Engineers India - Embedded Systems/IoT,Pune,Electronics  ,"A3 , A8",0,0,N
5946,Vidcentum R & D Pvt - Machine Learning/DSP/AI,Hyderabad ,Electronics  ,"A3 , A7",0,0,N
4680,"Access Livelihoods Consulting India, Ltd. - Social Sector",Hyderabad,Finance and Mgmt,Any,0,0,N
5498,Agile connects- Market survey,Mumbai,Finance and Mgmt,Any,0,0,N
6024,Akshara Livelihoods Private Limited - Developmental perspectives,Hyderabad ,Finance and Mgmt,Any,0,0,N
6026,Akshara Livelihoods Private Limited - Leadership development,Hyderabad ,Finance and Mgmt,Any,0,0,N
6025,Akshara Livelihoods Private Limited - Research,Hyderabad ,Finance and Mgmt,Any,0,0,N
6023,Akshara Livelihoods Private Limited - Social Media,Hyderabad ,Finance and Mgmt,Any,0,0,N
6027,Akshara Livelihoods Private Limited-Natural Farming course development,Hyderabad ,Finance and Mgmt,Any,0,0,N
5500,Alankaar India- Digital Marketing,Gurgaon,Finance and Mgmt,Any,0,0,N
5501,"Alma connect - customer relationship management,New delhi",New delhi,Finance and Mgmt,Any,0,0,N
5513,Almaconnect- General Management,New delhi,Finance and Mgmt,Any,0,0,N
5459,Americana Foods - Digital Analytics,UAE,Finance and Mgmt,Any,0,0,N
5460,Americana Foods - Retail Modelling,UAE,Finance and Mgmt,Any,0,0,N
5494,Americana Foods-Actionable KPI Design & communication,UAE,Finance and Mgmt,Any,0,0,N
5767,Andhra Pradesh Human Resource Development institute (APHRDI)-Mechanical/Chemical/Civil,Bapatla ( Near Amaravti) ,Finance and Mgmt,"A1 , A2 , A4",0,0,N
5766,Andhra Pradesh Human Resource Development institute (APHRDI)-Mechanical/Chemical/Civil,Sri kalahasthi,Finance and Mgmt,"A1 , A2 , A4",0,0,N
5765,Andhra Pradesh Human Resource Development institute (APHRDI)-Mechanical/Chemical/Civil,Visakhapatnam ,Finance and Mgmt,"A1 , A2 , A4",0,0,N
5520,Belief Systems - General Management,Chennai,Finance and Mgmt,Any,0,0,N
5524,Beunlu - Graphic Designing,Gurgaon,Finance and Mgmt,Any,0,0,N
5522,Beunlu - Sales and Marketing,Gurgaon,Finance and Mgmt,Any,0,0,N
5954,BeUnlu Private Limited - App/AR/VR,Gurgaon,Finance and Mgmt,"A3 , AA",0,0,N
5526,Beunlu- Video editing,Gurgaon,Finance and Mgmt,Any,0,0,N
5533,Bintix Waste Research Private Limited-Data Analytics,Hyderabad ,Finance and Mgmt,B3,0,0,N
5536,CrossBar-Content Creation,Gurgaon,Finance and Mgmt,Any,0,0,N
5540,CrossBar-Data Analytics,Gurgaon,Finance and Mgmt,Any,0,0,N
5541,CrossBar-DigitalMarketing,Gurgaon,Finance and Mgmt,Any,0,0,N
5542,CrossBar-Marketing,Gurgaon,Finance and Mgmt,Any,0,0,N
6022,CSPL - Finance,Ahmedabad ,Finance and Mgmt,Any,0,0,N
5544,Data M Intelligence-Marketing Research,Hyderabad ,Finance and Mgmt,Any,0,0,N
5546,Department of Posts- Financial inclusion,Hyderabad ,Finance and Mgmt,Any,0,0,N
4405,Futures First Info Services Pvt. Ltd.- Content Development,Gurgaon,Finance and Mgmt,Any,0,0,N
4785,Give India - Social Sector,New Delhi,Finance and Mgmt,Any,0,0,N
5557,GMR Varalakshmi- General Management,Hyderabad ,Finance and Mgmt,Any,0,0,N
4515,Good 2 give,New delhi,Finance and Mgmt,Unavailable,Unavailable,Unavailable,N
5565,"Helpage India, Goa-Data Analytics",Goa,Finance and Mgmt,Any,0,0,N
5442,Hyphen Supply Chain Solutions Pvt Ltd - Financial analysis,Noida,Finance and Mgmt,Any,0,0,N
5441,Hyphen Supply Chain Solutions Pvt Ltd - Social Media,Noida,Finance and Mgmt,Any,0,0,N
5573,"I Care Foundation,Mexico-Fundraising",Mexico,Finance and Mgmt,Any,0,0,N
5577,"I Care Foundation,Mexico-Marketing for Products with cause",Mexico,Finance and Mgmt,Any,0,0,N
5575,"I Care Foundation,Mexico-Marketing",Mexico,Finance and Mgmt,Any,0,0,N
5579,"I Care Foundation,Mexico-Sustainability Projects",Mexico,Finance and Mgmt,Any,0,0,N
5582,"Icare Foundation NONTECHI Care Foundation,Mexico - Social and environmental analysis",Mexico,Finance and Mgmt,Any,0,0,N
